train_input_1,train_input_2,train_output_1
[512 821 56 572 440 492 -618 -381 658 -859 -81 -301 342 893 830 445 836 787 55 -398 895 -365 672 219 -150 -755 223 -998 -943 53 -487 -905 -277 -292 -573 -700 -938 -95 218 27 -851 616 361 596 957],[958 305 722 -89 -143 -534 -14 734 -68 -305 -331 -312 903 987 -500 -549 991 -209 413 46 333 343 389 -964 907 17 81 -112 -260 -854 -923 -451 803 782 -7 -496 -369 -227 -372 -220 -21 -379 153 -945 -775],[1470 1126 778 483 297 -42 -632 353 590 -1164 -412 -613 1245 1880 330 -104 1827 578 468 -352 1228 -22 1061 -745 757 -738 304 -1110 -1203 -801 -1410 -1356 526 490 -580 -1196 -1307 -322 -154 -193 -872 237 514 -349 182]
[986 824],[-557 -642],[429 182]
[-636],[-417],[-1053]
[-619 502 19 -157 484 -137 54 -671 -155 -486 -651 -282 -309 397 507 265 652],[686 -312 799 -196 -665 -287 521 845 -519 466 416 -496 -112 -776 771 567 565],[67 190 818 -353 -181 -424 575 174 -674 -20 -235 -778 -421 -379 1278 832 1217]
[419 -137 43 478 -130 -827 -402 -920 -712 763 -163 139 990 -762 -585 -533 -89 -125 782 -977],[-198 954 -437 551 -578 883 -202 247 -919 -391 686 -108 636 230 519 607 479 -484 -765 -614],[221 817 -394 1029 -708 56 -604 -673 -1631 372 523 31 1626 -532 -66 74 390 -609 17 -1591]
[-991 327 809 -611 -706 708 -116 -217 915 -965 214 -157 628 218 -464 -90 699 -420 233 663 571 5 834 402 200 -982 846 117 398 663 903 930 -159 832 602],[-781 729 547 -245 -84 486 267 984 94 215 -486 -87 852 365 313 219 -104 173 908 63 381 803 428 -921 -79 -298 -88 -813 378 812 -788 -807 543 -930 -517],[-1772 1056 1356 -856 -790 1194 151 767 1009 -750 -272 -244 1480 583 -151 129 595 -247 1141 726 952 808 1262 -519 121 -1280 758 -696 776 1475 115 123 384 -98 85]
[53 27 162 818 -207 141 -815 -396 -136 -897 669 -539 632 878 515 -884 -615 647 -104 376 239 -104 -715 -393 234 25 872 549 450 358],[933 -857 55 834 445 -416 -429 -696 -566 821 642 869 -837 837 254 -803 889 327 230 306 -156 994 -823 -226 697 879 87 88 -942 -459],[986 -830 217 1652 238 -275 -1244 -1092 -702 -76 1311 330 -205 1715 769 -1687 274 974 126 682 83 890 -1538 -619 931 904 959 637 -492 -101]
[712 795],[-119 360],[593 1155]
[-313 367 -822 903 591 -935 -356 -367 939 777 947 -921 254 -140 792 -821 -114 -767 839 18 477 -595 -40 -289 52 413 604 -386 270 691 -602 983 91 -703 -290 -620 -527 186 -81],[-601 -458 302 126 41 -188 7 -481 -189 -900 -315 844 936 -476 -190 993 -460 -436 -201 353 97 -23 711 726 -138 773 964 -234 -962 395 270 851 -92 136 -515 72 837 274 608],[-914 -91 -520 1029 632 -1123 -349 -848 750 -123 632 -77 1190 -616 602 172 -574 -1203 638 371 574 -618 671 437 -86 1186 1568 -620 -692 1086 -332 1834 -1 -567 -805 -548 310 460 527]
[-2 772 978 193 -400 -7 -630 -11 -165 902 696 955 861 -928 -604 -899 -832 -75],[-737 -584 -894 653 460 -301 625 -500 547 -404 -122 621 831 742 -971 143 -175 -452],[-739 188 84 846 60 -308 -5 -511 382 498 574 1576 1692 -186 -1575 -756 -1007 -527]
[21 205 -288 836 -977 -315 -48 863 767 383 734 958 -962 -833 554 909 -239 -44 839],[877 93 -265 -842 299 -300 538 -317 615 193 -82 -165 -780 772 -854 -959 538 -304 -34],[898 298 -553 -6 -678 -615 490 546 1382 576 652 793 -1742 -61 -300 -50 299 -348 805]
[-402 169 202 -426 -392 -20 815 387 162 294 375 814 252 -397 -616 434 -453 727 -678 -189 -741 442 641 -941 -231 -518 -183 434 246 -367 992 412],[88 326 865 -664 -53 -296 -161 -907 -853 -432 972 395 52 -1000 -582 -200 -829 168 -847 161 228 420 -238 -128 813 432 -291 -537 446 413 -981 431],[-314 495 1067 -1090 -445 -316 654 -520 -691 -138 1347 1209 304 -1397 -1198 234 -1282 895 -1525 -28 -513 862 403 -1069 582 -86 -474 -103 692 46 11 843]
[-984 -275 -202 7 926 717 -489 684 501 761 464 118 -158 -284 -182 -858 -687 -655 934 63 410 409 690 -17],[995 -87 -551 220 503 -624 687 575 -692 -550 813 74 -905 1000 -129 -477 420 -718 -638 29 313 -766 -925 -74],[11 -362 -753 227 1429 93 198 1259 -191 211 1277 192 -1063 716 -311 -1335 -267 -1373 296 92 723 -357 -235 -91]
[23 560 472 626 426 -878 -761 -838 525 -721 -115 -959 -349 158 -61 -473 -960 385 143 -226 -320 785 -673 369 -823 480 795 -821 901 -863 -916 -300 -516 -583 -345 -125 -408 511 -720 -478],[-180 743 256 404 -96 261 859 -565 514 -202 557 545 -667 -262 -256 -510 249 -671 485 -856 -746 -358 -811 -130 -862 781 -549 449 -993 -124 -851 436 -692 640 -392 -138 -614 612 661 -391],[-157 1303 728 1030 330 -617 98 -1403 1039 -923 442 -414 -1016 -104 -317 -983 -711 -286 628 -1082 -1066 427 -1484 239 -1685 1261 246 -372 -92 -987 -1767 136 -1208 57 -737 -263 -1022 1123 -59 -869]
[-540 383],[-21 387],[-561 770]
[-954 -544 278 -471 -104 572 -146 941 -633 767 -291 -233 584 718 322 91 -12 153 792 -716 587 -432 -612 -349 503 569 546 694 308],[469 510 -34 216 419 844 920 820 -508 -560 -891 -271 -22 770 -947 391 828 38 146 653 337 631 658 -537 -121 800 -5 -314 444],[-485 -34 244 -255 315 1416 774 1761 -1141 207 -1182 -504 562 1488 -625 482 816 191 938 -63 924 199 46 -886 382 1369 541 380 752]
[926 818 139 -109 -568 371 -108 -989 610 -536 853 85 506 304 -798 872 -731 -216 341 752 52 358 -823 903 743 42 -574 -851 -484 -682 -495 915 133 914 -513 107 -881],[-597 -842 -622 -749 43 -588 -574 -197 -702 -836 145 -501 -671 -125 -976 -355 -157 -272 -220 -483 772 -793 -94 -374 -312 -984 -107 26 -119 215 193 254 856 -935 -697 475 609],[329 -24 -483 -858 -525 -217 -682 -1186 -92 -1372 998 -416 -165 179 -1774 517 -888 -488 121 269 824 -435 -917 529 431 -942 -681 -825 -603 -467 -302 1169 989 -21 -1210 582 -272]
[898 688 547 -742 -533 -901 363 -460 883 -206 935 230 -993 448 -591 524 371 -513 -563 491 -994 -611 251 819 -820 -558 687],[650 503 -216 183 -79 32 913 -832 -35 -567 -572 -566 -154 -974 162 -747 -531 154 -356 -890 726 269 -581 206 617 264 158],[1548 1191 331 -559 -612 -869 1276 -1292 848 -773 363 -336 -1147 -526 -429 -223 -160 -359 -919 -399 -268 -342 -330 1025 -203 -294 845]
[339 539 662 -193 510 -848 -757 -996 219 325 923 -47 5 -974 -661 -663 297 -980 505 -439 352 202 531 -820 144 732 491 -459 -310 209 75 -863],[870 -939 -604 518 -780 -736 -329 -587 -178 -391 -79 863 280 524 -108 591 -886 971 -814 -405 -196 568 155 589 356 832 -274 -948 -953 747 103 -304],[1209 -400 58 325 -270 -1584 -1086 -1583 41 -66 844 816 285 -450 -769 -72 -589 -9 -309 -844 156 770 686 -231 500 1564 217 -1407 -1263 956 178 -1167]
